file,class,method,variable,usage
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,MediaStoreImageThumbLoader/1[com.bumptech.glide.load.model.stream.Context],context,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,handles/1[com.bumptech.glide.load.model.stream.Uri],model,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,"buildLoadData/4[com.bumptech.glide.load.model.stream.Uri,int,int,com.bumptech.glide.load.Options]",width,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,"buildLoadData/4[com.bumptech.glide.load.model.stream.Uri,int,int,com.bumptech.glide.load.Options]",options,0
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,"buildLoadData/4[com.bumptech.glide.load.model.stream.Uri,int,int,com.bumptech.glide.load.Options]",model,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,"buildLoadData/4[com.bumptech.glide.load.model.stream.Uri,int,int,com.bumptech.glide.load.Options]",height,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,getSafeKey/1[com.bumptech.glide.load.Key],safeKey,5
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,getSafeKey/1[com.bumptech.glide.load.Key],key,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,calculateHexStringDigest/1[com.bumptech.glide.load.Key],container,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,calculateHexStringDigest/1[com.bumptech.glide.load.Key],key,1
C:\MetricsTest\Glide\benchmark\src\androidTest\java\com\bumptech\glide\benchmark\GlideBenchmarkRule.java,com.bumptech.glide.benchmark.GlideBenchmarkRule$Anonymous1,getModel/1[T],beforeData,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",handler,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",index,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",targetTime,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.load.resource.gif.Transition<? super com.bumptech.glide.load.resource.gif.Bitmap>]",msg,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.load.resource.gif.Transition<? super com.bumptech.glide.load.resource.gif.Bitmap>]",resource,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.load.resource.gif.Transition<? super com.bumptech.glide.load.resource.gif.Bitmap>]",transition,0
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,onLoadCleared/1[com.bumptech.glide.load.resource.gif.Drawable],placeholder,0
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withMatchingOptionsRegistered_returnsMatchingOptions/0,expected,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withSuperClassRegistered_returnsSuperClassOptions/0,expected,3
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,setUp/0,app,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getSourceEncoder/1[X],data,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getCacheKeys/0,size,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getCacheKeys/0,data,5
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getCacheKeys/0,i,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getCacheKeys/0,loadData,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getCacheKeys/0,j,4
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getTransformation/1[java.lang.Class<Z>],result,4
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getTransformation/1[java.lang.Class<Z>],entry,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getTransformation/1[java.lang.Class<Z>],resourceClass,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getLoadPath/1[java.lang.Class<Data>],dataClass,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getModelLoaders/1[java.io.File],file,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,isResourceEncoderAvailable/1[com.bumptech.glide.load.engine.Resource<?>],resource,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",diskCacheProvider,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",signature,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",diskCacheStrategy,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",transcodeClass,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",priority,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",isScaleOnlyOrNoTransform,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",transformations,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",width,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",options,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",model,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",isTransformationRequired,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",glideContext,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",height,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,"init/14[com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,com.bumptech.glide.load.engine.DiskCacheStrategy,java.lang.Class<?>,java.lang.Class<R>,com.bumptech.glide.load.engine.Priority,com.bumptech.glide.load.Options,java.util.Map<java.lang.Class<?>,com.bumptech.glide.load.engine.Transformation<?>>,boolean,boolean,com.bumptech.glide.load.engine.DecodeJob.DiskCacheProvider]",resourceClass,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,hasLoadPath/1[java.lang.Class<?>],dataClass,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,isSourceKey/1[com.bumptech.glide.load.Key],current,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,isSourceKey/1[com.bumptech.glide.load.Key],size,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,isSourceKey/1[com.bumptech.glide.load.Key],i,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,isSourceKey/1[com.bumptech.glide.load.Key],loadData,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,isSourceKey/1[com.bumptech.glide.load.Key],key,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getResultEncoder/1[com.bumptech.glide.load.engine.Resource<Z>],resource,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getLoadData/0,modelLoaders,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getLoadData/0,current,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getLoadData/0,size,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getLoadData/0,i,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getLoadData/0,modelLoader,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\DecodeHelper.java,com.bumptech.glide.load.engine.DecodeHelper,getRewinder/1[T],data,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,pauseRequests/0,request,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,clearRequests/0,request,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,restartRequests/0,request,5
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,addRequest/1[com.bumptech.glide.request.Request],request,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,pauseAllRequests/0,request,4
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,resumeRequests/0,request,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,runRequest/1[com.bumptech.glide.request.Request],request,4
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,clearAndRemove/1[com.bumptech.glide.request.Request],request,4
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,clearAndRemove/1[com.bumptech.glide.request.Request],isOwnedByUs,4
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,setDevice/1[java.lang.String],device,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,testReturnsRetrievedFrameForResource/0,result,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,testReturnsRetrievedFrameForResource/0,expected,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,"resetBuildInfo/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",model,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,"resetBuildInfo/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",buildId,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,"resetBuildInfo/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",make,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,"resetBuildInfo/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",device,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,decodeFrame_withTargetSizeOriginalWidthOnly_onApi27_doesNotThrow/0,expected,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,testReleasesMediaMetadataRetriever/0,e,0
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,testSpecifiesThumbnailFrameIfICalledWithFrameNumber/0,frame,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,decodeFrame_withTargetSizeOriginalHeightOnly_onApi27_doesNotThrow/0,expected,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,getScaledFrameAtTime/0,expected,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\load\resource\bitmap\VideoDecoderTest.java,com.bumptech.glide.load.resource.bitmap.VideoDecoderTest,decodeFrame_withTargetSizeOriginal_onApi27_doesNotThrow/0,expected,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,int[]]",viewId,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,int[]]",widgetIds,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,int[]]",context,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,int[]]",width,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,int[]]",remoteViews,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,int[]]",height,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,int[]]",viewId,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,int[]]",widgetIds,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,int[]]",context,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,int[]]",remoteViews,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",viewId,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",context,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",remoteViews,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/4[com.bumptech.glide.request.target.Context,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",componentName,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,setBitmap/1[com.bumptech.glide.request.target.Bitmap],bitmap,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",viewId,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",context,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\request\target\AppWidgetTarget.java,com.bumptech.glide.request.target.AppWidgetTarget,"AppWidgetTarget/6[com.bumptech.glide.request.target.Context,int,int,int,com.bumptech.glide.request.target.RemoteViews,com.bumptech.glide.request.target.ComponentName]",width,1
